department,0,1
IT,0.7775061124694377,0.22249388753056235
R&D,0.8462515883100381,0.15374841168996187
accounting,0.7340286831812256,0.26597131681877445
engineering,0.74375,0.25625
hr,0.7090663058186739,0.29093369418132614
management,0.8555555555555555,0.14444444444444443
marketing,0.7634032634032634,0.2365967365967366
product_mng,0.7804878048780488,0.21951219512195122
sales,0.755072463768116,0.24492753623188407
support,0.7510094212651414,0.2489905787348587
All,0.7619174611640777,0.2380825388359224
